File,Line,Cluster,Domain,PrimaryClass,MSTestCandidate,Windows,ProductAssembly,SourceOnly
"desktop-pet/SelfTestRunner.cs","44","RunArtResourceChecks","Art/Animation","RESOURCE PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","189","RunSettingsPersistenceChecks","Sticky/Settings Persistence","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","359","RunStickyPersistenceChecks","Sticky/Settings Persistence","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","746","RunStickyCompatibilityChecks","Sticky/Settings Persistence","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","897","RunStickyFutureSchemaChecks","Sticky/Settings Persistence","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1105","RunDockPersistenceChecks","Sticky Dock","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1345","RunDockLifecycleChecks","Sticky Dock","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1578","RunDockGeometryChecks","Sticky Dock","PURE BEHAVIOR","pure subset yes; platform references must separate","math no; present runner Windows","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1741","RunStickyEditorChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1827","RunStickyReminderWindowChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1868","RunStickyTodoWindowChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1912","RunStickyScheduleWindowChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","1951","RunStickyFontChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2004","RunStickyDialogChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2069","RunStickySideTabChecks","SideTabs","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2233","RunSideTabPhysicalProjectionChecks","SideTabs","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2301","RunStickyWindowPolicyChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2525","RunReminderCoordinatorChecks","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2611","RunKeyboardOverlayChecks","Input","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2706","RunAnimationChecks","Art/Animation","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","2983","RunWeatherChecks","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","3354","RunBubbleChecks","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4149","RunDaily","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
