FieldName,DeclaredIn,Category,ReadsBy,WritesBy,Thread,Lifetime,CandidateOwner,Notes
"_pendingHostedDockRestoreGroups","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:25","G Dock","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2041 TryRestoreHostedDockComponent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2101 ReleaseHostedDockRestoreGate","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2041 TryRestoreHostedDockComponent; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2101 ReleaseHostedDockRestoreGate","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","DockInteractionRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"CellWidth","desktop-pet/PetForm.cs:12","A Window shell","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:489 ScaledPetSize","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"CellHeight","desktop-pet/PetForm.cs:13","A Window shell","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:489 ScaledPetSize","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"IdleRow","desktop-pet/PetForm.cs:14","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"RightRow","desktop-pet/PetForm.cs:15","B Animation/hover","","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"LeftRow","desktop-pet/PetForm.cs:16","B Animation/hover","","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"WavingRow","desktop-pet/PetForm.cs:17","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"HoverRow","desktop-pet/PetForm.cs:18","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:286 StartHoverPokeAnimation; desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload; desktop-pet/PetHoverRuntime.cs:68 CommitStableEnter","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"FailedRow","desktop-pet/PetForm.cs:19","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"WaitingRow","desktop-pet/PetForm.cs:20","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:276 StartGuitarPokeAnimation; desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
